trial,token_set,accepted,cert_trigger,witness_size,equal_updates
621,"t_h0,t_h1",1,sup_h0,1,1
622,t_h1,1,sup_h1,1,1
623,"t_h0,t_h1",1,sup_h0,1,1
624,EMPTY,0,bot,0,1
625,t_h1,1,sup_h1,1,1
626,t_h0,1,sup_h0,1,1
627,t_h0,1,sup_h0,1,1
628,t_h1,1,sup_h1,1,1
629,t_h0,1,sup_h0,1,1
630,"t_h0,t_h1",1,sup_h0,1,1
631,EMPTY,0,bot,0,1
632,"t_h0,t_h1",1,sup_h0,1,1
633,"t_h0,t_h1",1,sup_h0,1,1
634,t_h0,1,sup_h0,1,1
635,t_h1,1,sup_h1,1,1
636,EMPTY,0,bot,0,1
637,t_h1,1,sup_h1,1,1
638,EMPTY,0,bot,0,1
639,EMPTY,0,bot,0,1
640,EMPTY,0,bot,0,1
641,t_h1,1,sup_h1,1,1
642,"t_h0,t_h1",1,sup_h0,1,1
643,"t_h0,t_h1",1,sup_h0,1,1
644,"t_h0,t_h1",1,sup_h0,1,1
645,"t_h0,t_h1",1,sup_h0,1,1
646,"t_h0,t_h1",1,sup_h0,1,1
647,t_h1,1,sup_h1,1,1
648,EMPTY,0,bot,0,1
649,t_h1,1,sup_h1,1,1
650,t_h1,1,sup_h1,1,1
651,"t_h0,t_h1",1,sup_h0,1,1
652,t_h0,1,sup_h0,1,1
653,t_h1,1,sup_h1,1,1
654,"t_h0,t_h1",1,sup_h0,1,1
655,"t_h0,t_h1",1,sup_h0,1,1
656,t_h1,1,sup_h1,1,1
657,EMPTY,0,bot,0,1
658,t_h0,1,sup_h0,1,1
659,t_h1,1,sup_h1,1,1
660,"t_h0,t_h1",1,sup_h0,1,1
661,"t_h0,t_h1",1,sup_h0,1,1
662,t_h0,1,sup_h0,1,1
663,"t_h0,t_h1",1,sup_h0,1,1
664,"t_h0,t_h1",1,sup_h0,1,1
665,t_h0,1,sup_h0,1,1
666,"t_h0,t_h1",1,sup_h0,1,1
667,EMPTY,0,bot,0,1
668,EMPTY,0,bot,0,1
669,t_h1,1,sup_h1,1,1
670,t_h1,1,sup_h1,1,1
671,t_h1,1,sup_h1,1,1
672,"t_h0,t_h1",1,sup_h0,1,1
673,t_h0,1,sup_h0,1,1
674,"t_h0,t_h1",1,sup_h0,1,1
675,t_h0,1,sup_h0,1,1
676,t_h1,1,sup_h1,1,1
677,EMPTY,0,bot,0,1
678,"t_h0,t_h1",1,sup_h0,1,1
679,EMPTY,0,bot,0,1
680,t_h1,1,sup_h1,1,1
681,t_h1,1,sup_h1,1,1
682,"t_h0,t_h1",1,sup_h0,1,1
683,"t_h0,t_h1",1,sup_h0,1,1
684,t_h0,1,sup_h0,1,1
685,EMPTY,0,bot,0,1
686,"t_h0,t_h1",1,sup_h0,1,1
687,t_h1,1,sup_h1,1,1
688,EMPTY,0,bot,0,1
689,EMPTY,0,bot,0,1
690,EMPTY,0,bot,0,1
691,t_h1,1,sup_h1,1,1
692,"t_h0,t_h1",1,sup_h0,1,1
693,t_h1,1,sup_h1,1,1
694,"t_h0,t_h1",1,sup_h0,1,1
695,t_h1,1,sup_h1,1,1
696,t_h1,1,sup_h1,1,1
697,t_h1,1,sup_h1,1,1
698,"t_h0,t_h1",1,sup_h0,1,1
699,t_h0,1,sup_h0,1,1
700,"t_h0,t_h1",1,sup_h0,1,1
701,t_h1,1,sup_h1,1,1
702,t_h0,1,sup_h0,1,1
703,t_h0,1,sup_h0,1,1
704,t_h0,1,sup_h0,1,1
705,EMPTY,0,bot,0,1
706,"t_h0,t_h1",1,sup_h0,1,1
707,t_h0,1,sup_h0,1,1
708,t_h1,1,sup_h1,1,1
709,EMPTY,0,bot,0,1
710,t_h1,1,sup_h1,1,1
711,t_h1,1,sup_h1,1,1
712,t_h0,1,sup_h0,1,1
713,EMPTY,0,bot,0,1
714,EMPTY,0,bot,0,1
715,"t_h0,t_h1",1,sup_h0,1,1
716,t_h0,1,sup_h0,1,1
717,"t_h0,t_h1",1,sup_h0,1,1
718,"t_h0,t_h1",1,sup_h0,1,1
719,t_h1,1,sup_h1,1,1
720,EMPTY,0,bot,0,1
721,EMPTY,0,bot,0,1
722,EMPTY,0,bot,0,1
723,EMPTY,0,bot,0,1
724,"t_h0,t_h1",1,sup_h0,1,1
725,t_h0,1,sup_h0,1,1
726,EMPTY,0,bot,0,1
727,EMPTY,0,bot,0,1
728,EMPTY,0,bot,0,1
729,t_h0,1,sup_h0,1,1
730,t_h1,1,sup_h1,1,1
731,t_h0,1,sup_h0,1,1
732,EMPTY,0,bot,0,1
733,t_h0,1,sup_h0,1,1
734,EMPTY,0,bot,0,1
735,EMPTY,0,bot,0,1
736,"t_h0,t_h1",1,sup_h0,1,1
737,t_h0,1,sup_h0,1,1
738,EMPTY,0,bot,0,1
739,EMPTY,0,bot,0,1
740,t_h1,1,sup_h1,1,1
741,t_h1,1,sup_h1,1,1
742,"t_h0,t_h1",1,sup_h0,1,1
743,t_h0,1,sup_h0,1,1
744,"t_h0,t_h1",1,sup_h0,1,1
745,t_h0,1,sup_h0,1,1
746,"t_h0,t_h1",1,sup_h0,1,1
747,"t_h0,t_h1",1,sup_h0,1,1
748,"t_h0,t_h1",1,sup_h0,1,1
749,t_h0,1,sup_h0,1,1
750,EMPTY,0,bot,0,1
751,t_h0,1,sup_h0,1,1
752,EMPTY,0,bot,0,1
753,EMPTY,0,bot,0,1
754,"t_h0,t_h1",1,sup_h0,1,1
755,t_h0,1,sup_h0,1,1
756,t_h1,1,sup_h1,1,1
757,t_h0,1,sup_h0,1,1
758,"t_h0,t_h1",1,sup_h0,1,1
759,EMPTY,0,bot,0,1
760,"t_h0,t_h1",1,sup_h0,1,1
761,"t_h0,t_h1",1,sup_h0,1,1
762,t_h0,1,sup_h0,1,1
763,t_h0,1,sup_h0,1,1
764,EMPTY,0,bot,0,1
