graph,model,all_wrong_sure,all_correct_sure,mean_conf,frac_wrong
ring,PBRC (social-only fallback),0.0,0.0,0.5575994534341288,0.55
ring,baseline,0.0,0.0,0.9974054344284122,0.45
ring,PBRC (social-only fallback),0.0,0.0,0.5398905240061189,0.45
ring,baseline,0.0,0.0,0.994364866276125,0.7
ring,PBRC (social-only fallback),0.0,0.0,0.5382956609997857,0.55
ring,baseline,0.0,0.0,0.9976399023377084,0.7
ring,PBRC (social-only fallback),0.0,0.0,0.5480996292985236,0.65
ring,baseline,0.0,0.0,0.9882052073664294,0.45
ring,PBRC (social-only fallback),0.0,0.0,0.5431006215033419,0.5
ring,baseline,0.0,0.0,0.983822528801009,0.65
ring,PBRC (social-only fallback),0.0,0.0,0.542001682597815,0.6
ring,baseline,0.0,0.0,0.999301209852668,0.55
ring,PBRC (social-only fallback),0.0,0.0,0.5392024082450121,0.55
ring,baseline,0.0,1.0,0.9999999999990002,0.0
ring,PBRC (social-only fallback),0.0,0.0,0.5340656798592761,0.35
ring,baseline,0.0,0.0,0.9989091161787483,0.45
ring,PBRC (social-only fallback),0.0,0.0,0.5404206242048286,0.45
ring,baseline,0.0,0.0,0.9997654901051771,0.5
ring,PBRC (social-only fallback),0.0,0.0,0.5438545390739964,0.45
ring,baseline,0.0,0.0,0.9994170583270587,0.45
ring,PBRC (social-only fallback),0.0,0.0,0.5468124484182276,0.45
ring,baseline,0.0,0.0,0.9995505181748173,0.7
ring,PBRC (social-only fallback),0.0,0.0,0.5391491469940345,0.55
ring,baseline,0.0,0.0,0.9890253579064556,0.5
ring,PBRC (social-only fallback),0.0,0.0,0.5455814982972835,0.55
ring,baseline,0.0,0.0,0.9865864968397297,0.65
ring,PBRC (social-only fallback),0.0,0.0,0.5404339219508517,0.5
ring,baseline,0.0,0.0,0.9995337231888867,0.25
ring,PBRC (social-only fallback),0.0,0.0,0.5451690665026729,0.35
ring,baseline,0.0,0.0,0.9995504363456629,0.55
ring,PBRC (social-only fallback),0.0,0.0,0.546278938925713,0.6
ring,baseline,0.0,0.0,0.997449373699955,0.55
ring,PBRC (social-only fallback),0.0,0.0,0.5475951063084243,0.45
ring,baseline,0.0,0.0,0.9989207587892857,0.85
ring,PBRC (social-only fallback),0.0,0.0,0.5428026543932869,0.7
ring,baseline,0.0,0.0,0.9778263953822751,0.85
ring,PBRC (social-only fallback),0.0,0.0,0.5459159053800395,0.65
ring,baseline,0.0,0.0,0.9997479871347089,0.55
ring,PBRC (social-only fallback),0.0,0.0,0.5475257725510477,0.55
ring,baseline,0.0,0.0,0.9990526456780318,0.7
ring,PBRC (social-only fallback),0.0,0.0,0.5376674106729166,0.6
ring,baseline,0.0,0.0,0.9955882597703702,0.7
ring,PBRC (social-only fallback),0.0,0.0,0.5471489912622818,0.6
ring,baseline,0.0,0.0,0.9998256929617553,0.25
ring,PBRC (social-only fallback),0.0,0.0,0.5533615122141639,0.45
ring,baseline,0.0,0.0,0.9993606033246589,0.35
ring,PBRC (social-only fallback),0.0,0.0,0.5420158531755265,0.6
ring,baseline,0.0,0.0,0.9708297777975993,0.3
ring,PBRC (social-only fallback),0.0,0.0,0.5344314379249006,0.35
ring,baseline,0.0,0.0,0.995659135590764,0.45
ring,PBRC (social-only fallback),0.0,0.0,0.5464914630201717,0.45
ring,baseline,0.0,0.0,0.999465345313993,0.15
ring,PBRC (social-only fallback),0.0,0.0,0.5392310949329321,0.1
ring,baseline,0.0,0.0,0.9840504057199817,0.5
ring,PBRC (social-only fallback),0.0,0.0,0.5418506069830641,0.5
ring,baseline,0.0,0.0,0.9851877743572596,0.1
ring,PBRC (social-only fallback),0.0,0.0,0.5390923049738636,0.35
ring,baseline,0.0,0.0,0.9948173837601594,0.5
ring,PBRC (social-only fallback),0.0,0.0,0.5385497787608589,0.35
ring,baseline,0.0,0.0,0.9945225576708875,0.4
ring,PBRC (social-only fallback),0.0,0.0,0.5502457065906095,0.45
ring,baseline,0.0,0.0,0.9778387075605899,0.45
ring,PBRC (social-only fallback),0.0,0.0,0.5513873390019527,0.6
ring,baseline,0.0,0.0,0.9745341233777358,0.25
ring,PBRC (social-only fallback),0.0,0.0,0.5287241114869382,0.4
ring,baseline,0.0,0.0,0.9868568152560385,0.35
ring,PBRC (social-only fallback),0.0,0.0,0.5466979144030637,0.45
ring,baseline,0.0,0.0,0.985108257937131,0.4
ring,PBRC (social-only fallback),0.0,0.0,0.542354412800582,0.4
ring,baseline,0.0,0.0,0.9727409351747245,0.6
ring,PBRC (social-only fallback),0.0,0.0,0.5559209020789918,0.45
ring,baseline,0.0,0.0,0.979039581978672,0.45
ring,PBRC (social-only fallback),0.0,0.0,0.5474120795661318,0.5
ring,baseline,0.0,0.0,0.9972347744461869,0.55
ring,PBRC (social-only fallback),0.0,0.0,0.5373691736546231,0.45
ring,baseline,0.0,0.0,0.9805824432364085,0.65
ring,PBRC (social-only fallback),0.0,0.0,0.5421012966525925,0.5
ring,baseline,0.0,0.0,0.9791595312116647,0.6
ring,PBRC (social-only fallback),0.0,0.0,0.5484506185117395,0.45
ring,baseline,0.0,0.0,0.999639616009158,0.2
ring,PBRC (social-only fallback),0.0,0.0,0.5325912734492169,0.4
ring,baseline,0.0,0.0,0.9970085904293573,0.5
ring,PBRC (social-only fallback),0.0,0.0,0.541560080726647,0.5
ring,baseline,0.0,0.0,0.992267072203781,0.3
ring,PBRC (social-only fallback),0.0,0.0,0.5405274228577067,0.3
